mic1,mic2,mic3,mic4,mic5,angle
216.46,208.42,220.39,180.71,253.95,17
151.69,153.47,165.94,135.91,193.73,18
109.29,110.46,121.26,101.29,142.7,17
76.88,77.25,86.47,74.62,104.12,17
56.86,56.33,61.62,54.24,68.92,17
47.12,45.65,52.24,44.32,52.46,17
41.33,42.71,47.35,38.19,45.31,17
38.78,42.13,43.12,33.08,40.38,17
41.04,39.92,42.82,33.04,39.24,17
43.89,42.35,41.47,34.7,43.19,17
46.57,46.72,44.12,36.51,54.81,17
47.49,44.23,45.26,36.27,60.16,17
42.48,37.19,38.44,32.08,51,17
37.95,34.47,33.93,30.61,40.72,17
34.39,34.48,32.53,30.08,34.16,17
263.22,264.7,259.38,220.57,264.3,17
618.35,619.13,608.46,544.7,619.87,17
780.98,758.2,752.63,700.23,803.29,17
867.05,831.49,831.94,771.84,901.64,17
939.22,919.95,914.44,826.66,957.27,17
916.64,875.51,900.36,802.2,955.23,17
781.99,727.53,826.8,738.04,919.02,17
581.66,544.4,649.52,576.66,742.11,17
376,348.42,405.91,361.19,466.66,17
458.71,435,475.52,430.43,510.33,17
725.88,705.37,733.93,688.17,751.86,17
773.27,763.28,803.53,724.66,791.37,17
698.79,689.52,781.28,661.23,788.09,17
645.34,646.72,786.65,678.57,864.3,17
619.6,648.05,827.69,730.65,921.05,17
673.58,695.84,881.87,778.15,956.41,17
652.5,669.38,790.85,702.54,925.61,18
473.93,496.12,547.8,500.99,723.08,18
509.82,522.12,560.57,530.64,673.32,18
708.8,737.93,778.55,742.14,821.14,17
679.25,701.63,758.69,731.55,821.79,17
488.84,482.83,544.88,527.13,640.92,17
374.41,365.29,408.44,365.95,475.53,17
381.15,354.64,421.85,363.34,504.68,18
412.39,387.8,508.22,440.15,600.94,17
444,462.24,590.11,499.13,625.59,17
411.73,446.35,540.81,449.34,543.07,17
317.67,337.17,413.72,334.91,423.27,17
259.5,265.13,340.23,257.26,333.73,17
210.73,207.22,267.92,193.79,254.97,17
253.17,236.76,273.46,206.56,285.58,17
328.15,301.18,330.85,255.54,364.43,17
410.56,386.2,400.49,312.89,451,17
521.21,531.21,528.15,426.74,573.64,18
507.72,536.85,550.07,440.49,571.9,17
467.46,479.07,503.42,408.7,555.45,17
530.59,497.92,498.68,475.54,657.79,17
526.24,476.92,469.91,467.39,642.11,17
407.08,393.05,393.45,342.18,466.35,17
331.26,327.52,322.48,258.66,376.54,17
419.35,438.67,387.51,322.65,509.2,17
637.2,671.67,598.35,444.02,733.1,17
712.17,714.14,670.14,484.65,812.9,17
593.52,581.16,521.38,428.64,680.51,17
407.52,402.51,340.23,294.46,434.28,17
289.66,283.21,259.32,217.74,320.11,17
387.83,347.66,338.06,320.18,472.82,17
489.03,435.32,463.53,456.6,655.31,17
431.88,386.4,444.39,412.09,595.39,17
344.21,300.86,347.63,294.91,436.71,15
281.71,261.01,293.06,233.99,346.96,13
269.18,265.07,281.08,209.13,352.72,11
305.43,307.35,295.86,224.13,409.99,9
298.29,319.37,261.27,236.5,403.3,8
213.05,252.02,192.05,190.84,315.42,8
134.38,161.89,135.61,126.85,214.58,8
90.21,102.42,93.48,84.61,136.61,8
85.33,113.21,73.89,63.76,94.96,8
81.82,119.8,67.73,52.4,79.68,8
61.35,79.98,58.29,42.89,64.53,8
49.23,56.8,46.44,37.92,48.5,8
270.49,261.53,228.39,181.63,274.41,8
621.19,602.89,556.43,488.52,628.5,8
806.85,744.22,725,664.22,813.29,8
803.81,700.37,690.34,609.61,819.37,8
698.24,628.95,645.71,557.68,788.35,8
615.41,570.89,633.18,543.01,797.27,8
481.58,444,519.78,434.95,648.69,8
328.78,307.26,372.63,308.51,446.12,7
217.25,205.3,248.26,208.58,305.26,8
329.49,315.84,338.5,296.52,417.97,8
593.89,571.95,569.43,475.32,677.12,7
690.28,706.8,655.28,543.78,765.99,6
728.16,784.59,707.98,595.04,820.26,6
729.28,766.62,744.57,640.92,893.29,6
684.2,683.37,735.93,660.8,922.79,5
684.34,627.01,663.05,576.99,821.77,5
589.99,519.67,518.4,429.49,624.9,5
388.95,353.21,369.75,297.06,430.35,6
228.57,213.5,234.56,184.91,266.91,5
246.7,234.3,247.44,208.86,296.36,5
349.4,319.74,323.97,291.16,453.96,5
310.96,278.51,279.28,262.16,434.62,5
237.35,218.02,223.68,201.36,320.05,5
294.08,275.62,287.42,232.03,357.8,6
402.33,368.32,381.89,308.27,465.47,5
364.64,327.29,333.89,272.52,409.55,6
321.07,293.2,298.56,249.8,364.34,6
434.35,392.55,426.67,389.51,547.54,5
519.05,443.69,520.54,510.71,732.31,5
456.39,390.29,470.08,458.25,655.19,5
324.72,304.57,352.42,320.2,439.95,4
301.67,290.19,315.88,269.18,388.57,4
374.74,365.16,395.55,294.91,424.64,4
407.14,408.35,428.99,308.58,465.93,4
362.13,362.29,374.97,292.76,470.27,5
319.51,317.68,333.63,266.34,405.35,4
339.35,325.01,340.74,266.9,389.17,4
351.61,323.57,352.58,278.18,412.99,4
322.87,301.78,342.26,272.36,406.3,4
309.55,302.36,346.68,274.34,386.08,4
378.61,378.69,441.5,406.37,531.63,4
487.09,480.44,573.46,595.05,757.71,4
557.57,531.63,589.97,660.05,878.1,4
508.29,501.44,508.23,572.77,801.07,3
381.93,395.09,394.09,398.61,562.94,4
270.56,274.32,278.1,255.6,364.79,4
172.28,176.39,184.58,162.32,232.93,4
174.3,173.34,176.65,146.63,211.45,4
195.43,193.02,204.79,163.3,237.05,4
170.36,166,180.27,134.47,199.5,4
196.25,186.8,199.74,139.03,214.08,4
327.85,325.55,342.58,241.33,327.83,4
454.14,454.85,477.37,349.23,421.15,4
444.75,458.99,516.16,397.89,490.64,4
395.15,427.92,484.05,380.49,505.4,4
324.55,348.83,378.12,297.3,413.41,4
347.72,347,377.35,298.11,423.73,4
470.25,457.68,513.44,389.86,554.62,4
589.18,567.08,635.15,529.3,709.23,4
740.42,683.7,710.38,694.34,854.23,4
844.69,745.52,781.92,805.58,931.34,4
757.58,671.4,736.54,739.56,856.11,4
567.97,510.09,576.35,575.3,732.7,4
399.69,352.27,415.78,423.36,577.7,4
356.33,328.47,377.63,356.49,496.56,4
454.9,436.54,469.13,435.62,618.21,4
479.09,488.4,482.45,450.62,694.37,3
438.41,466.45,442.55,382.67,671.24,4
386.1,406.47,398.54,322.11,588.17,4
293.78,308.47,315.57,252.25,444.42,4
189.18,202.1,212.98,166.55,280.22,4
117.85,124.36,133.86,103.65,167.04,4
88.52,88.09,92.57,74.65,114.43,4
76.08,84.7,72.7,60.24,91.75,4
59.79,76,58.26,47.45,69.16,4
45.78,54.72,47.62,39.35,49.24,4
86.29,87.37,90.35,70.74,89.05,4
320.9,330.31,326.37,309.92,344.1,4
536.82,599.82,582.22,589.66,655.54,4
616.51,683.82,685.87,679.23,807.08,4
660.73,667.41,693.82,681.75,875.41,4
604.68,589.04,621.71,588.16,783.66,4
468.57,457.54,482.48,416.44,554.57,4
303.35,301.18,309.89,259.41,349.18,4
235.77,233.68,233.92,183.19,248.69,4
399.39,366.51,375.96,289.48,374.58,4
652.85,612.73,636.31,541.22,618.38,4
791.81,795.5,817.85,752.92,793.67,4
804.81,825.86,839.91,786.43,877.5,4
693.02,710.7,739.31,664.3,815.58,4
570.85,591.32,636.13,531,663.98,4
492.99,513.23,564.59,433.71,527.25,3
402.15,416.3,466.53,343,418.84,4
304.07,308.58,338.62,245.47,311.58,4
220.13,220.81,238.16,168.27,218.31,4
151.93,150.62,163.98,117.7,153.62,4
100.33,98.21,109.96,78.88,101.45,4
67.18,65.36,76.27,53.83,68,4
65.42,64.71,71.6,49.61,62.5,4
255.99,237.21,261.6,206.38,286.02,4
474.97,441.26,518.3,423.02,622.84,4
461.36,431.1,518.87,432.1,646.35,4
388.75,363.88,414.23,343.84,492.71,4
513.18,486.81,496.12,419.46,573.65,4
737.09,714.24,682.76,621.48,783.23,4
831.71,775.57,740.49,697.75,868.46,4
695.83,615.13,608.3,574.28,753.26,4
431.75,384.61,392.29,372.86,493.04,4
353.94,322.64,354.62,319.38,441.62,4
427.84,395.01,465.96,387.81,562.77,4
404.25,378.51,447.09,358.26,518.17,4
307.07,290.29,328.48,255.1,366.77,4
374.69,346.57,380.6,279.44,381.94,4
513.97,462,530.2,417.16,558.39,4
571.84,518.42,614.49,517.25,707.85,4
594.39,555.51,630.27,522.87,731.59,5
696.28,668.34,706.16,618.08,776.25,5
787.47,785.55,823.22,751.43,856.22,5
666.76,685.6,713.15,632.18,732.04,5
539.93,554.55,566.78,461.64,599.11,5
495.5,480.42,496.6,390.34,560.57,5
387.69,362.84,367.7,297.9,430.49,5
376.12,363.16,360.19,272.61,358.06,5
474.32,457.03,472.94,327.78,374.29,5
495.44,476.14,506.43,345.34,387.3,7
404.63,394.79,428.06,304.3,368.51,7
264.72,264.85,298.46,213.55,270.01,8
239.99,233.84,239.43,175.28,237.26,8
276.57,257.82,237.79,181.84,263.43,8
263.63,245.95,220.68,166.86,251.51,8
291.78,272.75,265.54,197.76,311.51,8
347.82,319.25,334.13,257.88,412.86,8
330.93,310.52,329.76,260.33,412.93,9
271.2,261.51,277.76,217.14,341.01,9
202.26,198.63,204.25,164.96,250.16,8
241.82,239.45,259.83,235.98,338.3,8
420.24,380.52,383.98,370.1,557.37,8
434.71,373.1,347.18,339.21,530.66,10
280.66,242.76,224.46,218.15,340.53,9
194.28,175.22,158.5,144.93,221.47,8
302.44,295.84,309.82,263.06,357.27,9
374.66,367.63,418.44,362.72,484.56,9
270.6,259.04,298.7,261.01,353.77,9
180.9,172.48,188.16,162.28,220.48,8
116.17,110.81,119,102.86,139.21,8
77.36,75.52,79.79,66.35,88.67,8
105.64,103.24,108.34,87.46,127.32,8
142.39,136.59,139.73,108.52,166.13,9
252.88,244.36,243.85,182.62,308.31,8
360.52,355.59,346.24,266.23,427.93,8
289.51,285.03,274.41,218.07,318.95,8
231.17,224.53,223.77,160.66,230.28,9
386,385.16,390.26,291.59,375.02,9
535.65,576.09,589.27,415.38,571.04,8
450.71,517,524.36,336.79,506.23,8
387.98,435.96,411.83,279.04,404.52,8
552.22,584.43,533.83,422.93,544.36,9
682.64,689.41,641.73,552.29,670.41,9
604.16,594.07,573.96,475.18,570.53,8
514.68,509.41,517.56,390.94,516.49,8
478.49,473.83,502.23,388.82,568.37,9
401.28,394.31,438.29,349.94,504.6,9
269.9,267.46,306.43,234.98,332.91,8
163.09,163.97,190.52,142.48,199.32,9
192.21,183.35,215.37,172.37,238.85,8
267.65,262.07,324.44,269.25,355.82,8
263.28,272.55,342.88,280.37,366.43,9
245.45,256.27,302.3,244.09,321.04,8
245,254.71,293.07,229.23,287.79,8
256.47,251.26,294.47,231.27,291.48,8
218.95,205.24,235.2,189.78,247.02,9
142.24,135.8,147.37,119.13,156.17,9
129.22,126.81,139.07,105.44,136.49,8
156.36,156.78,173.7,121.25,156.81,8
155.71,149,165.47,115.15,157.14,8
140.31,127.72,142.54,103.37,144.16,8
155.22,146.5,161.88,120.64,162.49,9
282.77,280.37,285.05,204.24,348.72,9
391.89,378.69,387.58,304.77,575.72,8
392.9,363.54,391.13,335.48,612.19,8
333.9,302.8,329.15,279.55,499.98,8
235.46,210.62,223.65,189.16,339.58,9
157.31,144.34,146.13,121.43,206.87,8
103.61,94.93,95.62,82.02,128.52,8
76.31,68.19,68.07,60.02,85.96,8
61.58,56.62,57.52,48.3,63.75,9
48.39,46.05,50.1,40.27,50.72,9
238.02,240.62,235.32,159.67,255.73,8
553.56,555.16,554.79,422.79,592.45,9
600.63,598.83,616.8,497.48,654.15,8
540.09,542.26,574.35,463.78,619.42,8
481.24,479.02,509.64,424.2,578.34,9
339.36,330.08,345.82,291.43,422.07,8
319.59,308.29,320.8,262.3,396.22,9
399.39,385.84,399.31,325.51,492.45,9
393.94,374.68,377.88,300.88,453.27,9
295,273.95,269.41,201.01,308.75,9
187.9,172.85,172.63,128.81,196.99,10
120.3,111.49,113.04,85.39,127.19,10
79.51,76.35,79.32,60.82,87.42,11
67.08,69.49,70.08,55.17,77.18,11
70.15,91.97,68.13,53.89,73.27,10
61.71,93.18,57.79,44.62,59.75,11
