mic1,mic2,mic3,mic4,mic5,angle
191.06,192.02,191.07,149.69,212.92,9
155.65,160.21,170.96,129.76,180.69,9
144.82,153.18,169.3,129.87,177.49,9
117.89,126.8,140.23,104.83,139.72,9
102.17,106.34,117.65,81.49,109.73,9
142.25,140.84,147.22,96.07,128.51,9
202.37,188.73,203.77,135.48,194.01,9
238.05,221.13,234.96,174.7,262.61,9
233.72,212.46,212.75,167.91,251.08,10
211.86,189.29,196.13,154.33,215.66,10
237.03,216.4,236.47,191.46,266.27,10
247.29,220.75,261.35,218.49,317.77,10
222.77,199.36,243.01,200.33,282.5,10
224.55,208.27,228.18,168.38,232.78,10
222.14,212.68,217.34,151.22,222.37,10
173.3,167.65,171.52,126.49,190.64,10
122.96,118.81,122.02,94.94,144.43,11
110.07,108.38,110.54,84.69,127.01,11
103.58,103.66,106.22,82.45,113.38,11
169.76,161.91,169.22,125.5,166.27,12
284.62,275.98,288.88,197.46,270.61,13
270.46,271.69,282.25,187.92,262.91,13
181.55,188.41,192.72,133.69,190.28,13
121.76,127.73,134.05,94.39,138.27,13
94.14,93.2,107.49,71.02,104.43,13
90.97,86.65,101.04,70.29,97.29,13
110.11,110.48,124.21,89.04,124.88,13
130.85,133.44,142.99,96.67,142.39,13
115.62,112.91,118.14,79.38,115.91,13
138.28,135.66,137.43,96.89,149.18,13
211.06,212.56,204.16,149.77,240.41,13
215.57,213.73,203.85,153.71,247.63,13
160.55,155.53,150.37,114.4,183.5,13
113.67,108.9,104.29,79.79,128.04,13
81.56,76.67,72.36,57.42,89.77,13
62.17,59.38,56.17,46.22,65.97,13
50.85,48.92,49.16,41.81,52.12,13
43.75,43.22,46.21,39.27,45.13,13
40.76,40.25,43.48,35.32,41,13
39.68,39.17,42.77,32.06,40.29,14
38.88,39.33,43.84,31.55,40.39,13
38.46,40.37,45.35,34.16,40.2,13
38.96,40.43,47.09,36.23,42.26,13
50.69,61.98,60.2,52.38,70.82,13
56.34,76.09,71.82,63.91,88.6,13
47.09,61.47,65.69,53.67,68.71,13
43.46,52.64,55.56,43.79,53.55,13
42.28,48.03,50.27,38.39,45.16,13
40.95,44.91,48.47,35.81,43.41,13
41.21,43.04,48.24,33.75,48.71,13
67.65,66.21,74.42,48.69,73.23,13
171.81,164.84,186.34,157.37,228.03,13
389.92,367.16,370.97,340.31,492.41,13
589.09,555.22,531.87,504.63,704.5,12
694.47,693.77,685.65,641.07,834.79,12
716,733.32,720.48,611.16,801.9,13
569.22,569.41,550.52,427.96,583.93,13
413.01,415.26,415.2,318.73,408.73,12
372.37,374.98,385.46,293.52,358.66,13
302.15,302.55,317.83,246.42,304.56,13
196.17,197.34,212.49,169.72,218.95,13
197.76,190.01,216.08,189.22,256.74,13
293.98,264.59,313.34,276.85,385.48,13
462.05,427.11,448,365.37,537.05,13
514.62,497.1,486.25,401.05,615.44,13
441.89,437.29,429,369.95,556.42,13
431.18,426.39,441.91,383.6,548.09,13
381.37,376.48,425.7,361.08,513.38,13
292.74,296.41,348.15,276.65,393.67,13
213.74,220.19,262.02,202.71,278.36,13
144.78,146.71,175.71,136.15,179.94,13
97.55,95.93,112.26,88.51,117.1,13
71.71,69.19,79.15,63.16,84.06,13
56.55,52.84,62.34,48.98,61.8,13
50.55,45.99,53.81,40.86,48.75,13
48.13,44.56,48.88,36.86,44.56,13
99.95,94.97,110.14,108.65,149.96,13
196.31,179.37,217.89,217.59,315.17,13
212.9,193.06,238.98,220.89,328,13
171.35,157.89,196.91,162.61,240.98,13
175.01,162.96,191.94,142.48,201.31,13
210.38,202.9,214.44,161.14,226.5,13
208.05,202.95,211.84,162.27,231.28,13
162.13,154.68,171.75,128.91,179.51,13
123.34,117.3,126.69,96.68,134.8,13
116.72,114.29,119.19,92.05,130.83,13
130.96,123.47,130.33,104.46,147.65,13
135.04,123.73,132.09,103.52,149.25,13
113.27,106.41,114.59,83.91,125.22,12
86.6,82.78,88.25,63.87,95,13
65.52,62.57,69.01,51.02,72.29,13
53.08,47.71,55.38,44.08,57.57,13
48.74,41.64,47.79,40.22,48.45,13
44.08,40.14,43.35,36.29,41.54,13
39.98,39.59,42.94,33.76,37.46,13
39.51,40.03,44.64,32.68,37,13
96.16,85.2,101.95,79.21,99.63,13
171.15,158.25,177.04,142.7,190.65,13
188.77,188.73,197.58,156.47,215.92,13
175.01,179.78,187.74,143.1,195.64,13
175.01,189.68,192.88,144.96,204.42,13
192.45,216.61,214.22,159.56,247.49,13
175.74,197.43,202.16,144.71,235.54,13
130.21,145.11,158.34,114.97,177.19,13
92.58,102.03,117.06,87.97,125.94,13
69.35,74.28,87.86,63.84,86.53,13
55.08,57.65,66.65,49.33,63.32,13
46.44,48.02,56.06,41.52,51.46,13
40.49,40.6,48.86,36.49,43.59,13
38.34,37.68,43.19,34.11,38.76,13
38.42,37.36,40.95,33.82,37.44,13
37.02,38.62,41.69,33.66,37.71,13
35.82,39.04,40.16,32.87,37.37,12
37.1,36.87,38.89,32.45,37.67,13
38.73,36.21,39.18,34.15,37.83,13
38.14,36.59,39.81,34.56,36.24,13
38.07,35.11,39.42,31.42,34.69,13
41.15,35.78,40.42,30.02,34.84,13
41.08,37.32,40.7,30.25,34.2,13
40.32,38.6,39.88,29.89,34.82,13
81.76,79.19,85.84,62.93,84.15,13
193.28,198.15,231.26,178.19,227.99,13
277.53,294.66,354.49,258.9,341.79,13
258.39,271.15,337.28,236.48,333.76,13
184.58,192.43,245.11,177.44,256.18,13
166.61,172.86,205.85,148.3,218.56,13
189.03,196.59,220.74,157.24,233.83,13
186.39,199.42,226.84,163.82,238.22,13
162.77,169.81,203.49,149.08,215.4,13
117.7,122.09,148.99,108.4,159.51,13
79.59,86.19,101.9,74.74,107.39,13
59.47,62.91,71.35,53.83,73.26,13
