mic1,mic2,mic3,mic4,mic5,angle
870.34,725.51,682.27,656.44,919.08,11
912.97,777.86,740.47,664.60,936.25,11
890.27,763.58,778.73,659.77,935.89,11
895.40,804.42,837.19,732.31,953.16,11
953.30,903.43,922.68,866.99,984.16,11
885.26,860.67,886.26,824.44,930.30,11
837.09,835.25,860.79,749.17,901.71,11
907.33,909.96,922.33,816.02,956.83,11
896.65,877.70,893.25,801.43,957.63,12
707.25,671.54,693.75,593.48,758.67,13
527.60,498.20,535.86,445.51,598.90,14
599.75,593.73,633.22,529.18,712.98,16
775.57,782.71,797.59,694.28,851.40,17
743.98,731.69,756.91,664.74,816.07,17
663.43,641.48,686.19,575.46,780.18,18
616.37,589.37,647.13,531.97,756.66,19
564.32,523.93,600.93,482.02,699.93,19
686.32,654.25,715.95,614.69,785.07,20
840.12,798.28,858.93,799.87,883.29,21
919.43,864.61,933.31,890.77,934.07,21
964.88,928.14,972.61,943.71,973.48,21
876.73,871.42,904.42,906.08,992.14,21
668.16,664.19,691.70,692.56,835.97,21
665.22,652.39,668.89,626.79,748.97,21
827.19,826.00,834.85,788.26,869.71,21
918.42,918.51,922.89,897.62,940.13,21
843.16,843.44,874.18,829.19,907.08,21
603.31,603.46,646.51,585.26,688.54,21
600.29,599.89,621.64,583.22,644.06,21
799.29,798.84,810.43,790.86,822.13,21
839.07,869.44,872.86,779.93,891.15,21
680.06,719.34,721.60,567.20,741.91,21
661.87,675.43,679.24,574.99,688.40,21
832.14,828.70,840.49,785.85,845.51,21
916.94,907.97,924.88,869.83,915.79,21
932.51,945.04,968.92,886.41,951.75,21
944.70,964.86,991.43,916.33,981.99,21
979.74,990.03,1003.42,959.20,998.49,21
908.39,931.21,922.66,872.81,926.30,22
764.05,796.04,781.30,667.31,787.26,21
754.46,765.90,780.44,639.43,794.31,22
706.43,697.10,744.13,623.21,767.87,22
519.52,496.72,547.09,444.77,569.27,21
345.00,322.10,352.69,284.95,376.22,21
208.50,195.11,212.27,172.14,229.34,21
130.33,121.43,132.54,106.81,141.92,21
104.11,98.51,108.14,79.41,109.45,21
324.47,321.55,328.72,300.34,325.10,22
655.82,654.53,658.04,643.23,656.63,21
817.51,811.10,807.43,744.00,810.28,21
734.79,712.56,700.60,608.69,746.08,22
699.51,677.87,666.85,614.58,730.98,21
847.96,839.53,833.78,805.31,867.97,22
921.61,921.99,921.14,905.80,939.46,22
849.12,835.46,831.19,797.13,865.37,21
641.32,612.44,604.71,540.08,657.45,21
635.43,618.92,620.15,530.48,654.13,21
803.28,779.13,772.12,651.69,810.17,21
872.00,829.99,828.24,717.10,881.81,21
912.40,879.24,892.91,800.24,930.67,22
842.16,828.92,861.64,736.54,878.95,21
612.35,598.99,646.42,526.39,677.69,21
388.90,373.80,411.70,334.00,445.95,21
466.64,460.43,489.06,435.12,499.05,21
727.39,726.06,742.43,712.37,746.21,21
835.73,834.32,852.91,795.86,872.57,21
748.37,758.39,780.04,708.19,854.85,21
563.16,586.56,601.92,543.15,700.25,21
401.96,419.43,431.27,375.98,506.02,21
485.89,495.24,503.58,470.42,553.10,21
740.30,745.18,749.29,731.51,774.90,21
855.62,849.08,832.10,818.52,852.16,22
